timestamp,n_rows,modelo_1er_inning,brier_1er_inning,brier_1er_inning_baseline,modelo_1to3,mae_1to3,mae_1to3_baseline,modelo_1to5,mae_1to5,mae_1to5_baseline
2026-07-03T11:50:24,1861,Regresion logistica,0.2099,0.2218,Regresion lineal,1.3964,1.4018,Regresion lineal,1.8872,1.9203
2026-07-10T14:37:38,2032,Regresion logistica,0.2129,0.2397,Baseline ingenuo (promedio trailing),1.4422,1.4422,Regresion lineal,1.9049,1.9548
2026-07-31T14:52:26,2490,Regresion logistica,0.1845,0.2056,Regresion lineal,1.3708,1.3875,Regresion lineal,1.8085,1.8288
2026-08-04T16:58:20,2587,Regresion logistica,0.1888,0.2074,Regresion lineal,1.4038,1.4551,Regresion lineal,1.7933,1.8446
2026-08-04T17:39:18,2598,Regresion logistica,0.1878,0.2075,Regresion lineal,1.4052,1.4585,Regresion lineal,1.8064,1.8599
2026-08-16T10:33:26,3110,Regresion logistica,0.1921,0.212,Regresion lineal,1.3479,1.4025,Regresion lineal,1.8015,1.8677
2026-08-31T16:11:55,3575,Regresion logistica,0.2014,0.2156,Regresion lineal,1.3048,1.3757,Gradient Boosting,1.772,1.8379
2026-09-01T13:19:40,3598,Regresion logistica,0.2007,0.215,Regresion lineal,1.3071,1.3691,Gradient Boosting,1.782,1.845
2026-09-03T05:51:50,3658,Regresion logistica,0.204,0.2199,Regresion lineal,1.3384,1.3824,Gradient Boosting,1.7947,1.8472
2026-09-04T13:26:52,3680,Regresion logistica,0.206,0.2217,Regresion lineal,1.3362,1.3821,Gradient Boosting,1.7687,1.8371
2026-09-07T15:30:26,3772,Regresion logistica,0.2037,0.2191,Regresion lineal,1.3491,1.3897,Regresion lineal,1.8085,1.8636
